"Timestamp","AppName","AppPackage","AppUid","In interface","Out interface","Source","Source Port","Destination","Destination Port","Length"
"2021-03-10 21:00:07.608","Headphones","com.sony.songpal.mdr","10145","","wlan0","192.168.1.224","32973","52.36.27.160","443","52"
"2021-03-10 21:00:07.609","Headphones","com.sony.songpal.mdr","10145","","wlan0","192.168.1.224","45558","54.230.126.18","443","280"
"2021-03-10 21:00:07.609","Headphones","com.sony.songpal.mdr","10145","wlan0","","54.230.126.18","443","192.168.1.224","45558","543"
"2021-03-10 21:00:07.609","Headphones","com.sony.songpal.mdr","10145","","wlan0","192.168.1.224","45558","54.230.126.18","443","52"
"2021-03-10 21:00:07.610","Headphones","com.sony.songpal.mdr","10145","","wlan0","192.168.1.224","39849","184.24.188.159","443","279"
"2021-03-10 21:00:07.610","Headphones","com.sony.songpal.mdr","10145","wlan0","","184.24.188.159","443","192.168.1.224","39849","52"
"2021-03-10 21:00:07.611","Headphones","com.sony.songpal.mdr","10145","wlan0","","184.24.188.159","443","192.168.1.224","39849","1500"
"2021-03-10 21:00:07.611","Headphones","com.sony.songpal.mdr","10145","","wlan0","192.168.1.224","39849","184.24.188.159","443","52"
"2021-03-10 21:00:07.612","Headphones","com.sony.songpal.mdr","10145","wlan0","","184.24.188.159","443","192.168.1.224","39849","1500"
"2021-03-10 21:00:07.612","Headphones","com.sony.songpal.mdr","10145","","wlan0","192.168.1.224","39849","184.24.188.159","443","52"
"2021-03-10 21:00:07.613","Headphones","com.sony.songpal.mdr","10145","wlan0","","184.24.188.159","443","192.168.1.224","39849","1500"
"2021-03-10 21:00:10.114","Headphones","com.sony.songpal.mdr","10145","","wlan0","192.168.1.224","39849","184.24.188.159","443","52"
"2021-03-10 21:00:10.115","Headphones","com.sony.songpal.mdr","10145","wlan0","","184.24.188.159","443","192.168.1.224","39849","325"
"2021-03-10 21:00:10.115","Headphones","com.sony.songpal.mdr","10145","","wlan0","192.168.1.224","39849","184.24.188.159","443","52"
"2021-03-10 21:00:10.115","Headphones","com.sony.songpal.mdr","10145","","wlan0","192.168.1.224","39849","184.24.188.159","443","294"
"2021-03-10 21:00:10.116","Headphones","com.sony.songpal.mdr","10145","wlan0","","184.24.188.159","443","192.168.1.224","39849","52"
"2021-03-10 21:00:10.117","Headphones","com.sony.songpal.mdr","10145","wlan0","","184.24.188.159","443","192.168.1.224","39849","940"
"2021-03-10 21:00:10.117","Headphones","com.sony.songpal.mdr","10145","wlan0","","184.24.188.159","443","192.168.1.224","39849","940"
"2021-03-10 21:00:10.117","Headphones","com.sony.songpal.mdr","10145","","wlan0","192.168.1.224","39849","184.24.188.159","443","64"
"2021-03-10 21:00:10.118","Headphones","com.sony.songpal.mdr","10145","","wlan0","192.168.1.224","40152","54.230.126.18","443","280"
"2021-03-10 21:00:10.118","Headphones","com.sony.songpal.mdr","10145","wlan0","","54.230.126.18","443","192.168.1.224","40152","543"
"2021-03-10 21:00:10.119","Headphones","com.sony.songpal.mdr","10145","","wlan0","192.168.1.224","40152","54.230.126.18","443","52"
"2021-03-10 21:00:10.149","Kernel","kernel","-1","wlan0","","192.168.1.86","58691","192.168.1.255","32412","49"
"2021-03-10 21:00:11.180","Kernel","kernel","-1","wlan0","","192.168.1.86","45246","192.168.1.255","32414","49"
"2021-03-10 21:00:11.181","Headphones","com.sony.songpal.mdr","10145","","wlan0","192.168.1.224","35837","52.36.27.160","443","60"
"2021-03-10 21:00:11.181","Headphones","com.sony.songpal.mdr","10145","wlan0","","52.36.27.160","443","192.168.1.224","35837","60"
"2021-03-10 21:00:11.181","Headphones","com.sony.songpal.mdr","10145","","wlan0","192.168.1.224","35837","52.36.27.160","443","52"
"2021-03-10 21:00:11.181","Headphones","com.sony.songpal.mdr","10145","","wlan0","192.168.1.224","35837","52.36.27.160","443","235"
"2021-03-10 21:00:11.182","Headphones","com.sony.songpal.mdr","10145","","wlan0","192.168.1.224","39849","184.24.188.159","443","314"
"2021-03-10 21:00:11.182","Headphones","com.sony.songpal.mdr","10145","wlan0","","52.36.27.160","443","192.168.1.224","35837","52"
"2021-03-10 21:00:11.182","Headphones","com.sony.songpal.mdr","10145","wlan0","","52.36.27.160","443","192.168.1.224","35837","1500"
"2021-03-10 21:00:11.183","Headphones","com.sony.songpal.mdr","10145","","wlan0","192.168.1.224","35837","52.36.27.160","443","52"
"2021-03-10 21:00:11.183","Headphones","com.sony.songpal.mdr","10145","wlan0","","52.36.27.160","443","192.168.1.224","35837","1500"
"2021-03-10 21:00:11.183","Headphones","com.sony.songpal.mdr","10145","","wlan0","192.168.1.224","35837","52.36.27.160","443","52"
"2021-03-10 21:00:11.184","Headphones","com.sony.songpal.mdr","10145","wlan0","","52.36.27.160","443","192.168.1.224","35837","1398"
"2021-03-10 21:00:11.184","Headphones","com.sony.songpal.mdr","10145","","wlan0","192.168.1.224","35837","52.36.27.160","443","52"
"2021-03-10 21:00:11.184","Headphones","com.sony.songpal.mdr","10145","wlan0","","184.24.188.159","443","192.168.1.224","39849","52"
"2021-03-10 21:00:11.685","Headphones","com.sony.songpal.mdr","10145","","wlan0","192.168.1.224","35837","52.36.27.160","443","178"
"2021-03-10 21:00:11.685","Headphones","com.sony.songpal.mdr","10145","wlan0","","52.36.27.160","443","192.168.1.224","35837","103"
"2021-03-10 21:00:11.686","Headphones","com.sony.songpal.mdr","10145","","wlan0","192.168.1.224","35837","52.36.27.160","443","52"
"2021-03-10 21:00:11.686","Headphones","com.sony.songpal.mdr","10145","","wlan0","192.168.1.224","35837","52.36.27.160","443","1371"
"2021-03-10 21:00:11.687","Headphones","com.sony.songpal.mdr","10145","wlan0","","52.36.27.160","443","192.168.1.224","35837","265"
"2021-03-10 21:00:11.688","Headphones","com.sony.songpal.mdr","10145","","wlan0","192.168.1.224","33185","54.201.77.157","443","83"
"2021-03-10 21:00:11.689","Headphones","com.sony.songpal.mdr","10145","","wlan0","192.168.1.224","33185","54.201.77.157","443","52"
"2021-03-10 21:00:11.690","Headphones","com.sony.songpal.mdr","10145","wlan0","","54.201.77.157","443","192.168.1.224","33185","40"
"2021-03-10 21:00:11.690","Headphones","com.sony.songpal.mdr","10145","","wlan0","192.168.1.224","35837","52.36.27.160","443","1267"
"2021-03-10 21:00:11.690","Headphones","com.sony.songpal.mdr","10145","wlan0","","52.36.27.160","443","192.168.1.224","35837","265"
"2021-03-10 21:00:11.691","Headphones","com.sony.songpal.mdr","10145","","wlan0","192.168.1.224","35837","52.36.27.160","443","52"
"2021-03-10 21:00:11.691","Headphones","com.sony.songpal.mdr","10145","wlan0","","184.24.188.159","443","192.168.1.224","39849","1500"
"2021-03-10 21:00:11.691","Headphones","com.sony.songpal.mdr","10145","","wlan0","192.168.1.224","39849","184.24.188.159","443","52"
"2021-03-10 21:00:11.692","Headphones","com.sony.songpal.mdr","10145","wlan0","","184.24.188.159","443","192.168.1.224","39849","593"
"2021-03-10 21:00:11.692","Headphones","com.sony.songpal.mdr","10145","wlan0","","184.24.188.159","443","192.168.1.224","39849","1500"
"2021-03-10 21:00:11.692","Headphones","com.sony.songpal.mdr","10145","wlan0","","184.24.188.159","443","192.168.1.224","39849","1500"
"2021-03-10 21:00:11.693","Headphones","com.sony.songpal.mdr","10145","wlan0","","184.24.188.159","443","192.168.1.224","39849","1500"
"2021-03-10 21:00:11.693","Headphones","com.sony.songpal.mdr","10145","","wlan0","192.168.1.224","39849","184.24.188.159","443","52"
"2021-03-10 21:00:11.693","Headphones","com.sony.songpal.mdr","10145","","wlan0","192.168.1.224","39849","184.24.188.159","443","52"
"2021-03-10 21:00:11.694","Headphones","com.sony.songpal.mdr","10145","","wlan0","192.168.1.224","39849","184.24.188.159","443","52"
"2021-03-10 21:00:11.694","Headphones","com.sony.songpal.mdr","10145","","wlan0","192.168.1.224","39849","184.24.188.159","443","52"
"2021-03-10 21:00:11.694","Headphones","com.sony.songpal.mdr","10145","wlan0","","184.24.188.159","443","192.168.1.224","39849","1500"
"2021-03-10 21:00:11.695","Headphones","com.sony.songpal.mdr","10145","","wlan0","192.168.1.224","39849","184.24.188.159","443","52"
"2021-03-10 21:00:11.695","Headphones","com.sony.songpal.mdr","10145","wlan0","","184.24.188.159","443","192.168.1.224","39849","1500"
"2021-03-10 21:00:11.695","Headphones","com.sony.songpal.mdr","10145","","wlan0","192.168.1.224","39849","184.24.188.159","443","52"
"2021-03-10 21:00:11.696","Headphones","com.sony.songpal.mdr","10145","wlan0","","184.24.188.159","443","192.168.1.224","39849","1500"
"2021-03-10 21:00:11.696","Headphones","com.sony.songpal.mdr","10145","","wlan0","192.168.1.224","39849","184.24.188.159","443","52"
"2021-03-10 21:00:11.696","Headphones","com.sony.songpal.mdr","10145","wlan0","","184.24.188.159","443","192.168.1.224","39849","1500"
"2021-03-10 21:00:11.697","Headphones","com.sony.songpal.mdr","10145","","wlan0","192.168.1.224","39849","184.24.188.159","443","52"
"2021-03-10 21:00:11.697","Headphones","com.sony.songpal.mdr","10145","wlan0","","184.24.188.159","443","192.168.1.224","39849","1500"
"2021-03-10 21:00:11.697","Headphones","com.sony.songpal.mdr","10145","","wlan0","192.168.1.224","39849","184.24.188.159","443","52"
"2021-03-10 21:00:11.698","Headphones","com.sony.songpal.mdr","10145","wlan0","","184.24.188.159","443","192.168.1.224","39849","1500"
"2021-03-10 21:00:11.698","Headphones","com.sony.songpal.mdr","10145","","wlan0","192.168.1.224","39849","184.24.188.159","443","52"
